ehem inilah dua favorit saya difilm sosok dea panendra sebagai novi yang sudah saya sebutkan sgt natural trus yog 	0
jadi besok nonton atau 	0
ehem inilah dua favorit saya difilm sosok dea panendra sebagai novi yang sudah saya sebutkan sgt natural 	0
karakternya monoton kaya robot ngomong	-1
kok gak sesuai ekspektasi ya 	-1
percuma udah bayar buat nonton film ini	-1
wah mas yunus review saya dibaca semua terima kasih banyak sudah menyuguhkan gambar yg ciamik ala cinematic di 	0
sepertinya film bukan selera ku deh kehilangan fokus bbrp scene gr maenan hp ak jrg bgt buka hp pas nonton pdhl 	-1
ada satu line script difilm yg menyentil gue sendiri sebagai cewek kira kira gini mon maap kalo salah ye su 	-1
rugi nonton film ini hanya menghabiskan waktu	-1
ketiduran nonton film ini 	-1
pencahayaannya terlalu gelap muka artisnya gak keliatan	-1
bosen bener dari awal sampe akhir kaya gitu aja	-1
pemandangannya keren musiknya keren tapi kok berdarah darah ya 	-1
terlalu monoton	-1
ceritanya jelek terlalu gore	-1
di film secara gambar kalian akan dikasih suguhan wideshoot yg kece banget dari sumba dengan objek bergerak	1
menit pertama nonton gue mulai tau kenapa si mas mas kemarin yg kasih bad review bilang gambarnya jelek	-1
kemarin sudah nonton tidak mengecewakan malah bagus menurut gue 	1
sutradara film marlina si pembunuh dalam empat babak pada kesempatan q a di five flavours film festi 	0
satu pertanyaan saja sih buat film marlina si pembunuh dalam empat babak emang di sumba masih se violent itu ya 	0
sutradara film marlina si pembunuh dalam empat babak pada kesempatan q a di five flavours di poland 	0
akting yang jadi mba novi ini bagus ku berharap dia menggal si umbu juga eh sayangnya tidak 	-1
menantikan adegan menggal kepalanya bakal dramatis gimana gitu taunya ya gitu aja 	-1
dengan perasaan yang tulus marina berhasil memaknai perempuan dengan sederhana film ini terlalu bagus untuk dilewati	1
tolong jangan ditonton nanti menyesal	-1
salute buat kawan yang satu ini 	1
wah makasih banget atas semangatnya nonton marlina	0
filmnya terlalu vulgar dan tidak bisa dipandang mata	-1
selamat siang kawan kawan kaset ost versi transparant akan tersedia di berbagai store berikut dalam akhir 	0
cakep nih si marlince tambah layar buruan ke bioskop 	1
biar kena sensor sekian detik pas raped scene masih layak wajib tonton 	1
reasons to watch kritik sosialnya mati bgt gan personally gue suka tone warna gambarnya 	1
hari ini marlina tambah layar di jakarta cirebon pekanbaru padang balikpapan pontianak dan banjarmasin 	0
suka sama pemeran novi di ini sama kayak suka pemeran valkyrie di 	1
penasaran sama	1
abis nonton di blok m square lumayan studio terisi stengah sinematografinya juara film girl power bgt 	1
makasih tante buat tanda tangannya loved it 	0
sayang sekali logat sumba para aktor mengingatkan saya sama logat gagal medhok ala pemain ftv 	-1
dialognya apik banget sumpah ini bukan masalah logat tapi setiap katanya sangat bermakna 	1
sekian reviewnya seriusan plis nonton film bagus banget 	1
a bad ass bitch gue suka film ini 	1
adalah film yang nyentilnya kena parah mulai dari budaya patriarki sampai cara kerja polisi 	1
nonton film indo yg rasanyaaaa beda salah satu film indonesia terbaik yg q tonton 	1
sempat kelepasan berseru muampos di salah satu adegan saking kebawa suasana yang dibangun oleh film ini 	1
sama udah nyaranin banget nonton wajib nonton deh	1
empat babak yang membuat gw berdecak kagum ditambah sinematography ma musicnya gila bgt 	1
salah satu berkualitas yg udahwara wiri di festival film luar ga boleh dilewatin 	1
gak sesadis yang kamu bayangkan kok percaya deh 	1
baru saja nonton dan wow speechless mulai dari jalan cerita yang sederhana tp cara menceritakannya d 	1
selain petikan dialog di atas ada juga dialog yang disukai banyak orang diucapkan sama novi anjing mati dorang 	0
wah ternyata efek domino dari film marlina adalah sup ayam pak min jadi laris amin 	0
sabar yak kami sedang usahakan untuk bisa menambah layar di beberapa kota doakan marlina berhasil menambah layar 	0
maap tapi di captionnya udah mimin koreksi kok hahaha btw makasih koreksinya ya 	0
yang udah nonton mana suaranyaaaa bener gak melekat gak dialog ini atau cuma mimin aja ini yang merasa begit 	0
tunggu apalagi 	0
the marlina s jangan menyerah kita mainkan terus sembari tep jajan sup ayam 	0
hmmm sop marlina dalam empat piring 	0
sop di warung tadi lengkap dengan tempe sambal lalap dan kerupuk 	0
marlina sebagai sebuah film mampu menggugat kultur patriarkis yang melekat dikebanyakan pikiran tindakan kita 	1
nanti malam marlina akan ada di plaza senayan jam menjumpai pecinta film indonesia yang nonton jam 	0
nih mimin kasih lagi update bioskop yang memutar film marlina hari ini tinggal dicari bioskop yang dekat denganmu 	0
movie vote sudah nonton suka atau enggak sm filmnya 	0
ada satu film indonesia yang beda dari yang lain capture the other side of indonesia mengangkat sebuah isu yang j 	1
kalau lo perhatiin detail atau nonton sampe tiga kali lo akan ngerti maksud gue film ini bukan ttg dendam pemerkosaan aja 	1
film is the whole next level bagi penikmat film indonesia bukan hanya masalah isu pemerkosaan tp kecerdas 	1
oke film ini produksi dari yg dimana gue pernah terlibat di kedua ph tersebut satu kata salut 	1
yg jalur ceritanya dilandasi pembunuhan namun tetap banyak unsur satire atau malah black comedy dark jokes yang masuk di dalamnya 	1
paduan suara terompet dan serulingnya sangat pas dan mendukung pensuasanaan yang dibangun dalam film ini 	0
kritik sosial di film ini kuat banget tentang pandangan remeh terhadap perempuan juga sulitnya mencari keadilan tonton lah 	1
btw di film adegan pipis di pinggir jalan aja gambarnya bagus banget alam sumba emang juara 	1
cara menuntut dendam berfikir cepat dan dengan plan yang terencana aku suka banget tergambar sekali kala 	1
film ni berkesan sekali di aku sejujurnya film ini bukan gendre yg sering aku tonton tapi aku bisa menerimanya	1
well done cinematography plot cast music semuanya keren wajib nonton 	1
bagi yg suka ntn film epic kyk ny wajib ntn ini deh	1
gue org nya ga pinter review sih cuma over all gue kasih tinggi buat film si pembunuh dalam babak ini l 	1
asli ketika film mulai gue langsung amaze sm lokasinya sumpah sumba keren bgt dan dalam hati pengen lan 	1
sebagai orang film bts membantu sekali menggali aspek aspek sempurna yang ada di film ini 	0
udah nih yg menang giveaway nonton sisa lagi ya 	0
yahhhh tau gitu tadi aku pergi nonton kakkkkk hiks telat lah akunya tauuuu	1
karakter yang mencuri perhatian di sosok anak perempuan di warung yang sangat natural akting nya suka bang 	1
ayo segerakan nonton keren dan ga ada yg loe takutin malah akan di manjakan dengan pemandangan 	1
babak yang sangat berkesan saat nonton yang paling disuka akting para pemain nya marlina novi sampai t 	-1
keluar dari bioskop sambil membawa minum emank ya gue marlina bawa kepala orang di tengah jalan gilak	1
kelar nonton ini asli gue langsung jatuh cinta ama dea panendra akting nya keren	1
adegan yang paling bikin gue merinding adalah saat saat marlina dengan berani membunuh pake sup ayam	1
ditambah indonesia punya sumba gue baru tahuu loe gak perlu liat savana di luar negri sumba terbaik	0
jadi film ini bergenre thriller klo loe berharap dari nonton film ini ada adegan mesra a 	0
nunggu karena gagal nonton di blok m buat ketemu akhirnya nonton disini aja 	0
berlaku gak kalo di blog	0
siap review sudah saya lakukan semoga banyak yg menonton film yg wajib ditonton tahun ini	1
pokoknya film wajib tahun ini adalah ayo cintai perfilman indonesia dengan menghargai karyanya	0
yg pling juara dr marlina adalah sinematografinya diawal ada kata bahwa cerita ini fiktif belaka tp kekayaan alam sumba ini nyata	1
cinematografinya sgt bagus pmndngan sumba nan indah jln ceritanya bikin breatheless bener² must watch movie in	1
salah satu adegan yang bikin merinding adalah waktu menghadapi para perampok di rumahnya 	1
ini dia kepalanya markus	0
aku udah review ya kak keren banget intinya kalian harus nonton	1
punya kompleksitas plng utuh dituturkan dgn ringkas dgn 	1
penasaran ama film setelah nonton traillernya dari cinematographynya dan lokasiny duh aduhaiii bagian nt 	1
dan skg penasaran sama film ini nih nonton gak yaa	1
banyak banyakin deh film indonesia kayak biar ku rajin ke bioskop heheheh	1
ini mbaaaak aku sudah review yaaa	0
he aku habis nonton	0
tiangnya gue bikinin sop ayam	0
btw sembilan orang lagi buat yaaa	0
music scorenya bagus cinematografinya ga usah ditanya mantap pake bgt adegan favorit yg selesai makan sup ayam rame rame	1
kalau nonton hari ini tapi jam masuk gak kak 	0
yoga franz pratama di itu aktor bagus tp jarang main film ya selain mirip abimana jg mirip fahrul rozi pengabdi setan 	0
secara cerita for both penonton serius dan penonton yg tdk mencari keseriusan bisa masuk semacam alurnya ngalir 	0
